cityname,lat_min,lng_min,lat_max,lng_max
LosAngeles,33.5741,-118.6057,34.1507,-117.15
Pittsburgh,40.3943,-80.0539,40.4945,-79.8864
Seattle,47.432,-122.4083,47.9015,-122.0595
Denver,39.5584,-105.26,39.9602,-104.6338
NewOrlean,29.8713,-90.2925,30.0875,-89.8915
Orlando,28.3941,-81.5488,28.6533,-81.2453
Miami,25.454,-80.5806,26.9765,-79.9832
Atlanta,33.4245,-84.6387,34.0686,-83.963
Boston,42.2495,-71.2711,42.5025,-70.8055
SaintLouis,38.5066,-90.5685,38.7777,-90.0522
KansasCity,38.887,-94.878,39.2941,-94.2627
Houston,29.5369,-95.7005,29.9682,-95.0647
Chicago,41.5947,-88.0925,42.0675,-87.3537
Oakland,37.7035,-122.3218,37.8353,-122.1817
SanFrancisco,37.3914,-122.5415,38.0209,-121.7697
LasVegas,35.9176,-115.3551,36.3239,-114.9321
Philadephia,39.8612,-75.2275,40.0687,-74.9254
Louisville,38.1408,-85.8966,38.3357,-85.6103
Columbus,39.8693,-83.1541,40.1074,-82.8342
NewYork,40.4473,-74.5999,41.072,-72.07
Buffalo,42.8307,-78.9278,42.9539,-78.7988
Detroit,42.0826,-83.5565,42.7026,-82.7353
Dallas,32.5889,-96.9955,32.8819,-96.6508
Albuquerque,35.0183,-106.7926,35.203,-106.4616
Portland,45.3792,-122.9301,45.7033,-122.4413
Austin,30.1537,-97.9308,30.4132,-97.5641
SanAntonio,29.3168,-98.7547,29.6045,-98.2315
Jacksonville,30.1767,-81.7863,30.4575,-81.5337
Richmond,37.3743,-77.7132,37.6773,-77.2778
Nashville,36.0887,-86.8675,36.2366,-86.6711
Memphis,34.9891,-90.1662,35.258,-89.7308
Minneapolis,44.7615,-93.6159,45.1142,-92.9732
Baltimore,39.207,-76.7134,39.3677,-76.5294
BatonRonge,30.3493,-91.2099,30.5309,-90.9812
Phoenix,33.2114,-112.6044,33.6993,-111.5277
Ottawa,45.2297,-75.9608,45.5217,-75.4074
Montreal,45.3931,-73.9476,45.6726,-73.3736
Quebec,46.725,-71.429,46.8997,-71.0678
Toronto,43.2721,-79.8788,44.0223,-78.7033
Vancouver,48.9968,-123.3545,49.3449,-122.1432
Lima,-12.2766,-77.1735,-11.9117,-76.9043
Santiago,-33.6384,-70.9016,-33.3408,-70.4443
BuenosAires,-34.881,-58.8318,-34.4091,-58.1287
MexicoCity,19.3397,-99.2148,19.4868,-99.0266
RiodeJaneiro,-23.0604,-43.4908,-22.7329,-43.1955
London,51.3092,-0.4408,51.6163,0.1936
Manchester,53.4419,-2.3023,53.5256,-2.1465
Glasgow,55.7971,-4.3822,55.9207,-4.0869
Birmingham,52.3674,-2.2096,52.6274,-1.637
Edinburgh,55.8929,-3.3179,55.9903,-2.9951
Leeds,53.7306,-1.6782,53.8428,-1.4138
Cardiff,51.4117,-3.265,51.5408,-3.0721
Belfast,54.5383,-6.0521,54.6436,-5.8049
Liverpool,53.3208,-3.081,53.5039,-2.8228
Sheffield,53.3093,-1.5779,53.4165,-1.3815
Dublin,53.2622,-6.4572,53.412,-6.0892
Lyon,45.6499,4.6829,45.8298,5.0606
Marseille,43.2304,5.3242,43.3592,5.5261
Nantes,47.1355,-1.7166,47.3002,-1.4193
Rennes,48.0593,-1.7455,48.142,-1.5855
Lille,50.5628,2.9526,50.7169,3.2101
Bordeaux,44.7607,-0.7615,44.8914,-0.4738
Toulouse,43.5123,1.2456,43.6689,1.5656
Paris,33.6465,-95.5845,33.6774,-95.5129
Madrid,40.357,-3.7841,40.4788,-3.5915
Sevilla,37.2989,-6.0947,37.4293,-5.8715
Barcelona,41.2921,2.0455,41.4664,2.2934
Munich,48.0309,11.3997,48.2137,11.6977
Rome,41.7963,12.4077,41.9621,12.5848
Florence,43.746,11.1758,43.8068,11.3018
Shanghai,30.6633,121.068,31.4868,122.0526
Suzhou,31.1889,120.4335,31.4831,120.8736
Wuxi,31.4119,120.1595,31.6446,120.4802
Changzhou,31.6161,119.8135,31.8717,120.0819
Nanjing,31.7914,118.5384,32.3608,119.0753
Hangzhou,30.1183,119.9446,30.4416,120.4541
Ningbo,29.7862,121.4072,29.9812,121.723
Wenzhou,27.917,120.5221,28.0466,120.8572
Xiamen,24.42,117.8984,24.7293,118.2699
Fuzhou,25.9798,119.1804,26.1277,119.3864
Guangzhou,22.7537,113.2018,23.361,113.5712
Shenzhen,22.4473,113.7566,22.7724,114.4048
HongKong,22.2352,114.0807,22.3679,114.2867
Changsha,28.0782,112.765,28.3032,113.1537
Wuhan,30.3434,114.0614,30.6958,114.608
Chongqing,29.2606,106.1774,29.8502,106.9272
Chengdu,30.56,103.9224,30.7761,104.2012
Zhengzhou,34.6666,113.5155,34.8459,113.8293
Tianjin,38.9735,117.0181,39.2333,117.4933
Jinan,36.5718,116.8588,36.7654,117.3354
Qingdao,36.0339,120.2151,36.4488,120.5846
Shenyang,41.6419,123.268,41.8911,123.5907
Changchun,43.7592,125.137,43.9998,125.4927
Harbin,45.663,126.4643,45.8068,126.7348
Nanchang,28.577,115.7252,28.7394,116.052
Shijiazhuang,37.9554,114.3498,38.0984,114.5881
Xian,34.1373,108.755,34.3933,109.108
Seoul,37.464,126.888,37.6328,127.1791
Tokyo,35.6305,139.5998,35.775,139.8999
Singapore,1.2543,103.6306,1.4377,104.035
