,edge_id,from_node_id,to_node_id
0,0,1331,566
1,1,1331,1165
2,2,1331,713
3,3,1332,273
4,4,1332,991
5,5,1332,126
6,6,1333,726
7,7,1333,388
8,8,1333,1021
9,9,1333,1326
10,10,1334,898
11,11,1334,1288
12,12,1334,1230
13,13,1334,1505
14,14,24,1242
15,15,24,1239
16,16,24,23
17,17,24,25
18,18,1335,1473
19,19,1335,1432
20,20,1335,1019
21,21,1335,899
22,22,1336,529
23,23,1336,403
24,24,1336,172
25,25,25,1237
26,26,25,1243
27,27,1337,404
28,28,1337,406
29,29,1337,166
30,30,1338,1166
31,31,1338,240
32,32,1338,1425
33,33,1338,1339
34,34,1339,504
35,35,1339,1371
36,36,1339,1254
37,37,1340,1221
38,38,1340,773
39,39,1340,1341
40,40,1341,1458
41,41,1341,774
42,42,1341,1430
43,43,1342,1216
44,44,1342,772
45,45,1342,777
46,46,1342,745
47,47,1343,1113
48,48,1343,1384
49,49,1343,878
50,50,1343,369
51,51,272,995
52,52,272,144
53,53,272,145
54,54,1345,1111
55,55,1345,878
56,56,1345,368
57,57,1346,1380
58,58,1346,864
59,59,1346,783
60,60,1346,875
61,61,1347,1314
62,62,1347,408
63,63,1347,1348
64,64,1347,868
65,65,1348,865
66,66,1348,1477
67,67,1349,1466
68,68,1349,976
69,69,1349,100
70,70,1344,1292
71,71,1344,1293
72,72,1344,867
73,73,1344,785
74,74,1350,444
75,75,1350,1352
76,76,1350,844
77,77,1351,457
78,78,1351,1075
79,79,1351,1084
80,80,1352,706
81,81,1352,844
82,82,1353,1354
83,83,1353,808
84,84,1353,725
85,85,1354,1432
86,86,1354,1019
87,87,1354,138
88,88,1355,1101
89,89,1355,385
90,90,1355,419
91,91,1356,1214
92,92,1356,1215
93,93,1356,1162
94,94,1357,717
95,95,1357,1272
96,96,1357,718
97,97,1357,1311
98,98,1358,426
99,99,1358,425
100,100,1358,1158
101,101,1358,1412
102,102,308,1101
103,103,308,1264
104,104,308,420
105,105,1359,677
