,oid,ent,sectionId
1,1,1,1045
2,1,2,1042
3,1,3,1478
4,1,4,1311
5,1,5,1312
6,1,6,913
7,1,7,908
8,1,8,1221
9,1,9,1224
10,1,10,1228
11,1,11,145
12,1,12,140
13,1,13,1055
14,1,14,1051
15,1,15,927
16,1,16,924
17,1,17,1525
18,1,18,1517
19,1,19,1267
20,1,20,1262
21,1,21,1852
22,1,22,1993
23,1,23,1990
24,1,24,2100
25,1,25,2105
26,1,26,2106
27,1,27,2237
28,1,28,2151
29,1,29,1785
30,1,30,1782
31,1,31,1788
32,1,32,1792
33,1,33,1117
34,1,34,1109
35,1,35,1110
36,2,1,1045
37,2,2,1042
38,2,3,1478
39,2,4,1311
40,2,5,1312
41,2,6,913
42,2,7,908
43,2,8,1221
44,2,9,1224
45,2,10,1228
46,2,11,145
47,2,12,140
48,2,13,1055
49,2,14,1051
50,2,15,927
51,2,16,924
52,2,17,1525
53,2,18,1526
54,2,19,2036
55,2,20,859
56,2,21,753
57,2,22,739
58,2,23,740
59,2,24,1850
60,2,25,399
61,2,26,400
62,2,27,404
63,2,28,2121
64,2,29,2118
65,2,30,1757
66,2,31,1754
67,2,32,1902
68,2,33,1869
69,2,34,1791
70,2,35,1792
71,2,36,1117
72,2,37,1109
73,2,38,1110
74,3,1,1045
75,3,2,1042
76,3,3,1478
77,3,4,1311
78,3,5,1312
79,3,6,913
80,3,7,908
81,3,8,1221
82,3,9,1224
83,3,10,1228
84,3,11,145
85,3,12,140
86,3,13,1055
87,3,14,1051
88,3,15,927
89,3,16,924
90,3,17,1525
91,3,18,1526
92,3,19,2036
93,3,20,859
94,3,21,753
95,3,22,739
96,3,23,740
97,3,24,1850
98,3,25,399
99,3,26,400
100,3,27,404
101,3,28,2121
102,3,29,2118
103,3,30,1757
104,3,31,1754
105,3,32,1902
106,3,33,1869
107,3,34,1791
108,3,35,1792
109,3,36,1117
110,3,37,1109
111,3,38,1110
112,4,1,1045
113,4,2,1042
114,4,3,1478
115,4,4,1311
116,4,5,1312
117,4,6,913
118,4,7,914
119,4,8,603
120,4,9,598
121,4,10,718
122,4,11,709
123,4,12,710
124,4,13,730
125,4,14,1926
126,4,15,2178
127,4,16,2216
128,4,17,1185
129,4,18,1182
130,4,19,2159
131,4,20,2156
132,4,21,543
133,4,22,548
134,4,23,893
135,4,24,890
136,4,25,904
137,4,26,971
138,4,27,191
139,4,28,188
140,4,29,1125
141,4,30,1122
142,4,31,1840
143,4,32,181
144,4,33,176
145,4,34,1695
146,4,35,821
147,4,36,822
148,4,37,761
149,4,38,762
150,4,39,1300
151,4,40,2033
152,4,41,251
153,4,42,246
154,4,43,239
155,4,44,242
156,4,45,1110
157,5,1,1045
158,5,2,1042
159,5,3,1478
160,5,4,1311
161,5,5,1312
162,5,6,913
163,5,7,914
164,5,8,603
165,5,9,598
166,5,10,718
167,5,11,709
168,5,12,710
169,5,13,730
170,5,14,1926
171,5,15,2178
172,5,16,2216
173,5,17,1185
174,5,18,1182
175,5,19,2159
176,5,20,2156
177,5,21,543
178,5,22,548
179,5,23,893
180,5,24,890
181,5,25,904
182,5,26,971
183,5,27,191
184,5,28,188
185,5,29,1125
186,5,30,1122
187,5,31,1838
188,5,32,1967
189,5,33,1143
190,5,34,1137
191,5,35,1138
192,5,36,1645
193,5,37,1640
194,5,38,1974
195,5,39,249
196,5,40,246
197,5,41,239
198,5,42,242
199,5,43,1110
200,6,1,1045
201,6,2,1042
202,6,3,1478
203,6,4,1311
204,6,5,1312
205,6,6,913
206,6,7,908
207,6,8,1221
208,6,9,1224
209,6,10,1228
210,6,11,145
211,6,12,140
212,6,13,1055
213,6,14,1051
214,6,15,927
215,6,16,924
216,6,17,1525
217,6,18,1526
218,6,19,2036
219,6,20,859
220,6,21,753
221,6,22,739
222,6,23,740
223,6,24,1850
224,6,25,399
225,6,26,400
226,6,27,404
227,6,28,2121
228,6,29,2118
229,6,30,1757
230,6,31,1754
231,6,32,1902
232,6,33,1869
233,6,34,1791
234,6,35,1792
235,6,36,1117
236,6,37,1109
237,6,38,1110
238,7,1,1045
239,7,2,1042
240,7,3,1478
241,7,4,1311
242,7,5,1312
243,7,6,913
244,7,7,914
245,7,8,603
246,7,9,598
247,7,10,718
248,7,11,709
249,7,12,710
250,7,13,730
251,7,14,1926
252,7,15,2178
253,7,16,2216
254,7,17,1185
255,7,18,1182
256,7,19,2159
257,7,20,2156
258,7,21,543
259,7,22,548
260,7,23,893
261,7,24,890
262,7,25,904
263,7,26,971
264,7,27,191
265,7,28,188
266,7,29,1125
267,7,30,1122
268,7,31,1838
269,7,32,1967
270,7,33,1143
271,7,34,1137
272,7,35,1138
273,7,36,1645
274,7,37,1640
275,7,38,1974
276,7,39,249
277,7,40,246
278,7,41,239
279,7,42,242
280,7,43,1110
281,8,1,1045
282,8,2,1042
283,8,3,1478
284,8,4,1311
285,8,5,1312
286,8,6,913
287,8,7,908
288,8,8,1221
289,8,9,1224
290,8,10,1228
291,8,11,145
292,8,12,140
293,8,13,1055
294,8,14,1051
295,8,15,927
296,8,16,924
297,8,17,1525
298,8,18,1526
299,8,19,2036
300,8,20,859
301,8,21,753
302,8,22,739
303,8,23,740
304,8,24,1850
305,8,25,399
306,8,26,400
307,8,27,404
308,8,28,2121
309,8,29,2118
310,8,30,1757
311,8,31,1754
312,8,32,1902
313,8,33,1869
314,8,34,1791
315,8,35,1792
316,8,36,1117
317,8,37,1109
318,8,38,1110
319,9,1,1045
320,9,2,1042
321,9,3,1478
322,9,4,1311
323,9,5,1312
324,9,6,913
325,9,7,908
326,9,8,1221
327,9,9,1224
328,9,10,1228
329,9,11,145
330,9,12,140
331,9,13,1055
332,9,14,1051
333,9,15,927
334,9,16,924
335,9,17,1525
336,9,18,1526
337,9,19,2036
338,9,20,859
339,9,21,753
340,9,22,739
341,9,23,740
342,9,24,1850
343,9,25,399
344,9,26,400
345,9,27,404
346,9,28,2121
347,9,29,2118
348,9,30,1757
349,9,31,1754
350,9,32,1902
351,9,33,1869
352,9,34,1791
353,9,35,1792
354,9,36,1117
355,9,37,1109
356,9,38,1110
357,10,1,1045
358,10,2,1042
359,10,3,1478
360,10,4,1311
361,10,5,1312
362,10,6,913
363,10,7,908
364,10,8,1221
365,10,9,1224
366,10,10,1228
367,10,11,145
368,10,12,140
369,10,13,1055
370,10,14,1051
371,10,15,927
372,10,16,924
373,10,17,1525
374,10,18,1526
375,10,19,2036
376,10,20,859
377,10,21,753
378,10,22,739
379,10,23,740
380,10,24,1850
381,10,25,399
382,10,26,400
383,10,27,404
384,10,28,2121
385,10,29,2118
386,10,30,1757
387,10,31,1754
388,10,32,1902
389,10,33,1869
390,10,34,1791
391,10,35,1792
392,10,36,1117
393,10,37,1109
394,10,38,1110
395,11,1,1045
396,11,2,1042
397,11,3,1478
398,11,4,1311
399,11,5,1312
400,11,6,913
401,11,7,908
402,11,8,1221
403,11,9,1224
404,11,10,1228
405,11,11,145
406,11,12,140
407,11,13,1055
408,11,14,1051
409,11,15,927
410,11,16,924
411,11,17,1525
412,11,18,1526
413,11,19,2036
414,11,20,859
415,11,21,753
416,11,22,739
417,11,23,740
418,11,24,1850
419,11,25,399
420,11,26,400
421,11,27,404
422,11,28,2121
423,11,29,2118
424,11,30,1757
425,11,31,1754
426,11,32,1902
427,11,33,1869
428,11,34,1791
429,11,35,1792
430,11,36,1117
431,11,37,1109
