curr time	start	end	position
0:3	1286	909	0
0:4	1286	909	4.66559
0:5	1286	909	9.33117
0:6	1286	909	13.9968
0:7	1286	909	18.6623
0:8	1286	909	23.3279
0:9	1286	909	27.9935
0:10	1286	909	32.6591
0:11	1286	909	37.3247
0:12	1286	909	41.9903
0:13	1286	909	46.6559
0:14	1286	909	51.3214
0:15	1286	909	55.987
0:16	1286	909	60.6526
0:17	1286	909	65.3182
0:18	1286	909	69.9838
0:19	1286	909	74.6494
0:20	1286	909	79.315
0:21	1286	909	83.9805
0:22	1286	909	88.6461
0:23	1286	909	93.3117
0:24	1286	909	97.9773
0:25	1286	909	102.643
0:26	1286	909	107.308
0:27	1286	909	111.974
0:28	1286	909	116.64
0:29	1286	909	121.305
0:30	1286	909	125.971
0:31	1286	909	130.636
0:32	1286	909	135.302
0:33	1286	909	139.968
0:34	1286	909	144.633
0:35	1286	909	149.299
0:36	1286	909	153.964
0:37	1286	909	158.63
0:38	1286	909	163.296
0:39	1286	909	167.961
0:40	1286	909	172.627
0:41	1286	909	177.292
0:42	1286	909	181.958
0:43	1286	909	186.623
0:44	1286	909	191.289
0:45	1286	909	195.955
0:46	1286	909	200.62
0:47	1286	909	205.286
0:48	1286	909	209.951
0:49	1286	909	214.617
0:50	1286	909	219.283
0:51	1286	909	223.948
0:52	1286	909	228.614
0:53	1286	909	233.279
0:54	1286	909	237.945
0:55	1286	909	242.61
0:56	1286	909	247.276
0:57	1286	909	251.942
0:58	1286	909	256.607
0:59	1286	909	261.273
1:0	1286	909	265.938
1:1	1286	909	270.604
1:2	1286	909	275.27
1:3	1286	909	279.935
1:4	1286	909	284.601
1:5	1286	909	289.266
1:6	1286	909	293.932
1:7	1286	909	298.598
1:8	1286	909	303.263
1:9	1286	909	307.929
1:10	1286	909	312.594
1:11	1286	909	317.26
1:12	1286	909	321.925
1:13	1286	909	326.591
1:14	1286	909	331.257
1:15	1286	909	335.922
1:16	1286	909	340.588
1:17	1286	909	345.253
1:18	1286	909	349.919
1:19	1286	909	354.585
1:20	1286	909	359.25
1:21	1286	909	363.916
1:22	1286	909	368.581
1:23	1286	909	373.247
1:24	1286	909	377.912
1:25	1286	909	382.578
1:26	1286	909	387.244
1:27	1286	909	391.909
1:28	1286	909	396.575
1:29	1286	909	401.24
1:30	1286	909	405.906
1:31	1286	909	410.572
1:32	1286	909	415.237
1:33	1286	909	419.903
1:34	1286	909	424.568
1:35	1286	909	429.234
1:36	1286	909	433.9
1:37	1286	909	438.565
1:38	1286	909	443.231
1:39	1286	909	447.896
1:40	1286	909	452.562
1:41	1286	909	457.227
1:42	1286	909	461.893
1:43	1286	909	466.559
1:44	1286	909	471.224
1:45	1286	909	475.89
1:46	1286	909	480.555
1:47	1286	909	485.221
1:48	1286	909	489.887
1:49	1286	909	494.552
1:50	1286	909	499.218
1:51	1286	909	503.883
1:52	1286	909	508.549
1:53	1286	909	513.214
1:54	1286	909	517.88
1:55	1286	909	522.546
1:56	1286	909	527.211
1:57	1286	909	531.877
1:58	1286	909	536.542
1:59	1286	909	541.208
2:0	1286	909	545.874
2:1	1286	909	550.539
2:2	1286	909	555.205
2:3	1286	909	559.87
2:4	1286	909	564.536
2:5	1286	909	569.201
2:6	1286	909	573.867
2:7	1286	909	578.533
2:8	1286	909	583.198
2:9	1286	909	587.864
2:10	1286	909	592.529
2:11	1286	909	597.195
2:12	1286	909	601.861
2:13	1286	909	606.526
2:14	1286	909	611.192
2:15	1286	909	615.857
2:16	1286	909	620.523
2:17	1286	909	625.189
2:18	1286	909	629.854
2:19	1286	909	634.52
2:20	1286	909	639.185
2:21	1286	909	643.851
2:22	1286	909	648.516
2:23	1286	909	653.182
2:24	1286	909	657.848
2:25	1286	909	662.513
2:26	1286	909	667.179
2:27	1286	909	671.844
2:28	1286	909	676.51
2:29	1286	909	681.176
2:30	1286	909	685.841
2:31	1286	909	690.507
2:32	1286	909	695.172
2:33	1286	909	699.838
2:34	1286	909	704.503
2:35	1286	909	709.169
2:36	1286	909	713.835
2:37	1286	909	718.5
2:38	1286	909	723.166
2:39	1286	909	727.831
2:40	1286	909	732.497
2:41	1286	909	737.163
2:42	1286	909	741.828
2:43	1286	909	746.494
2:44	1286	909	751.159
2:45	1286	909	755.825
2:46	1286	909	760.491
2:47	1286	909	765.156
2:48	1286	909	769.822
2:49	1286	909	774.487
